American,Fast_food,Italian,Mexican,Seafood,Chinese,Asian,Mediterranean,Vegetarian,Premium,South_American,African
0x89b7b793e5e4acfb:0x314682965ec12dc2,0x89b7b82c2c9de41b:0x47d492760581e59c,0x89b7b64605bd323f:0x878f495d54be6953,0x89b7b809ed74c829:0xb1b05991a590bbd6,0x89b7b64c4b002657:0xd1ae42f003c0769b,0x89b7c7eb8186981f:0xa704c697d7715b5e,0x89b7b7a8cad96c05:0x6e8dec492d5bc674,0x89b7b7d995ac3d81:0x2c18d8f309e12ec1,0x89b7c9b998537781:0x8e2e92754cfc9f4a,0x89b7b7da2241f0b3:0x979a194830e91b5f,0x89b7b7db26c971cd:0x216a3caaa6d3515f,0x89b7c815532bbee5:0x2427019a2d1f09d1
0x89b7b7b9ea30060f:0x57ec1355c3fc1ee0,0x89b7b990614b7023:0x46a70425609d266a,0x89b7b6491c6200cd:0x3f6881e4f8640c43,0x89b7b6249700867b:0xd5449a5f1d1462c4,0x89b7b961c707a8ed:0x5e1d2e2cf2018f46,0x89b7b82c20c11ad9:0xc1bdc5ac68e06304,0x89b7b7e68071d815:0xdcfe9cae12f3eb5c,0x89b7b64b3f1a062d:0xfdf196f46b88de8f,0x89b7c9fc6437ebd3:0x735a312fc9e71a54,0x89b7b7964f2281e5:0x7e5bfa055a7370f,0x89b7b78e01bf1c67:0xc43180e20928d633,0x89b7c896b10bffff:0x87abebf5d3137de9
0x89b7b9cc459c7acd:0xafbd1d548d956de2,0x89b7c81f9b59b5a9:0xb35ee2168773303d,0x89b7c81a8dd37541:0x8dafffe06cc33f21,0x89b7b879abe0482b:0xc06e80bba0167d04,0x89b7b988c8a931e5:0x92ebdbe18ed4a7a2,0x89b7c821d7205bad:0xc3423934789159f2,0x89b7b7e6356c6bf1:0x1c0466b455b00d0d,0x89b7b7c9ae81c5e9:0x822bca60dd42cc2e,0x89b7c7ed912b685d:0xaa8e244721614ba0,0x89b7b79848b9563d:0xd4144898d3e68050,0x89b7b786c23f5771:0x94e37311b00330b1,0x89b7b949cde6357f:0xde086faa8462d06
0x89b7b7be68fc0001:0x9d53fb2f6aad898a,0x89b7b9b4a3811bf5:0x748f29675f16e80e,0x89b7b7c79f1e051b:0x178c441a5870857a,0x89b7b7ba2c6291ef:0x8bb2eec89cd3ea42,0x89b7b77418106f3d:0xfd155d06cbc43797,0x89b7c86c6274de95:0x1a75f703b7703805,0x89b7b73def11139b:0xeac66eb3cd67c5fa,0x89b7b7be63d92735:0x68c07ed399f7d32c,0x89b7b776bc2ea237:0x1d58f63fed5ef6a0,0x89b7b826c616b9e3:0x1fe973c76269d1cd,0x89b7b79563ad49c5:0xdb666dcb50c37d68,0x89b7c956f8f7e2ff:0x35b4cc5a8d288552
0x89b7b961c707a8ed:0x5e1d2e2cf2018f46,0x89b7b7951b1125e5:0x6848eaecb44aa2cc,0x89b7c996cf8c580d:0xc976c247de5c4401,0x89b7b826c616b9e3:0xb43da96ede4bd0d8,0x89b7b796d4264193:0xb1f84043ade1753f,0x89b7b7b7b374e565:0x6ae998fcbc15bf09,0x89b7b7e98d333531:0x17e174c92aa339bd,0x89b7b81ebe8d4bed:0x1bba7ba9e2428f96,0x89b7b87479dcff5b:0x13e781ed4a47615f,0x89b7b7e7c7283113:0xa5cadb259974b50e,0x89b7b78c435f9509:0xefe89de0ac3e6f6d,0x89b7b9ce6afad823:0xe42c5fb76cf93f95
0x89b7b74ba9e3ede9:0x9ea8670135d01d6b,0x89b7b7bb90000001:0x6867a0695c53283d,0x89b7b7fc2d3c48c9:0xb52163017b55316b,0x89b7b7d8d865df2b:0xefcda38fc8e13a95,0x89b7b9b532acc38b:0x40f56ec48a4839a2,0x89b7b99e2ff53b8b:0xf06d81b2fdc1d943,0x89b7c994de030171:0xa583cbe9cbb777f1,0x89b7b7d0640f5e69:0xe1e66174d6b41b8a,0x89b7b83cb023468f:0xb9581c9620dc41ef,0x89b7b7be8dd6254b:0x35629c4259de22f7,0x89b7b7e776ab7a7f:0x55f8467e4a5b366a,0x89b7b78df6644bd9:0xe05044ac3b220fc8
0x89b7b786c23f5771:0x94e37311b00330b1,0x89b7b7c62374ef87:0x62636a5fa1add460,0x89b7b7da310e67dd:0x9387ca1e917e7281,0x89b7b846cb53dd05:0xacd9b9ba0ca1d23d,0x89b7b833393c50c3:0xdd7bc5f3e7fc7ee9,0x89b7b848fb5cda31:0xad75194c88b02228,0x89b7b7c4dd262c1d:0xa0962ade8a26cfd1,0x89b7b7c8a7700675:0x338204aeb3d76c40,0x89b7b791fb54de91:0x13af06e0fea86986,0x89b7b7be843a2d35:0x3c1ccc4efc81a702,0x89b7b7da32c4b609:0xeb4be73ae154380,0x89b7b74a6dbde907:0xceac1eb3a17cf9a8
0x89b7b7e7bc5500f5:0x2df2f2c8c5bad393,0x89b7b7f100000001:0x91aa7f6e543d4efd,0x89b7c7fc556ab3e9:0xdb28e789cd22de04,0x89b7c9fd7cfd55a3:0xd3e0cbefc9110a82,0x89b7c9eaeb79e955:0x3b86a4451dd287a9,0x89b7b78de1202fed:0xbcfc2fad073b5393,0x89b7b7818c676f43:0x3eb5f7d14dce3d3f,0x89b7b9d68f455555:0x4770682f7ba7f56b,0x89b7b7da16d7ab65:0xa10722ee69191e65,0x89b7b7693049ce21:0xb0a69cd9eab7ffa3,0x89b7b95fc2bebf5d:0x34da9ae321c82928,0x89b7c9c2f82b201b:0x3826c2d98bba3936
0x89b7b83ff8cf4523:0x85abfbb01cef8f67,0x89b7b7c7ddda2ca7:0xb7f7d907c0b7d1b4,0x89b7b7763bfa4489:0x5fdb670e4073a74,0x89b7b775e53b901f:0x5aa11edffd77dafd,0x89b7b83308ccd977:0x6ebf24fbddab867f,0x89b7b7fcade18c11:0xf80a04a2ddd9afad,0x89b7b7ea191e5193:0x9d204c29505c4f3c,0x89b7b83d2db34aa5:0xa89f78bf6372339e,0x89b7b795917f6e5b:0xbaafee20398bab5e,0x89b7b7be7c679cd3:0x6981f0c8c5d132d6,0x89b7b8171b9011e9:0xc8c7cfc7941da92d,0x89b7b9b7785acdf9:0x135ed34c19dac72e
0x89b7b7e776ab7a7f:0x55f8467e4a5b366a,0x89b7b7930f233da3:0x9182b2b5b506fc6,0x89b7c9c9205493f5:0xa8f4a32a0a492739,0x89b7b7b89cf4988f:0x573966a86b467795,0x89b7b81093cadf8d:0xfa7f852372a7ced5,0x89b7c9eaeb79e955:0x3b86a4451dd287a9,0x89b7b7f7b7e87673:0x60de4f87d956c35c,0x89b7b7c9af9db301:0x455846799e157da7,0x89b7b81a19992fe1:0xd530b02518fccd69,0x89b7b8333e76c7df:0x6e35a3ccb42ae7d8,0x89b7c968b7ab8e75:0xaf111f4da3868138,0x89b7c86c89c2e4b3:0x8d751e976784d0c1
0x89b7b7953df9db21:0xc4fd0ea2844cd572,0x89b7b8208cf5e37b:0xbc35b265c911539c,0x89b7b7e9f2625967:0x1fd9d3404800ead5,0x89b7b7b85e6b9463:0x6bead97450df3c2d,0x89b7b776bc2ea237:0x1d58f63fed5ef6a0,0x89b7b776bc2ea237:0x1d58f63fed5ef6a0,0x89b7b7850c8a50cd:0x9d0f38fa4ee19fe,0x89b7c79ad064d167:0xa8e4af410cae917,0x89b7b7c63ac7c69f:0xcf47663d770cd7d1,0x89b7b8251d1bf6ad:0xa65926cd2955c964,0x89b7c820eec90807:0x95dfc650db566615,0x89b7b7ea40de4f7d:0x93756a8306066332
0x89b7b79586818f15:0xfe3bd18439861ed7,0x89b7b791ee4f3f13:0x812adebbac72b52b,0x89b7b7920697b865:0x90d8f3cbb98675af,0x89b7b77631d9180d:0x842a1a07942bccd8,0x89b7b788884170cf:0x389741f613cb3ad9,0x89b7b78dd95092b5:0x548f7997667eb3b3,0x89b7b98f0eb00241:0x525e60ae2da1c51a,0x89b7b7dd47ec97a1:0x72c9c49a8fb91e65,0x89b7b64eb35d5a31:0x9d2ecb6b5cb94511,0x89b7b961c707a8ed:0x5e1d2e2cf2018f46,0x89b7b7953df9db21:0xc4fd0ea2844cd572,0x89b7b7da16d7ab65:0xa10722ee69191e65
0x89b7b7ed1f803bad:0xc249cf1582afed52,0x89b7b798359764c9:0xec52bbe74d6efc95,0x89b7b7e63e155889:0xe63073d6e353001a,0x89b7b83c7d36347b:0x8bc48079244a9dce,0x89b7b77418106f3d:0x75e9d6379f3251ce,0x89b7b9adcc12d30d:0xc03443f236c70935,0x89b7b7c865a27f1d:0x83f59d43e336e0f6,0x89b7c92575462f59:0xb87f1891718f210a,0x89b7b756f4bf0855:0x68f9d23326e5c6cb,0x89b7b83236e6f67f:0xd0d50be2e681388a,0x89b7b7e835d813d7:0x86efd7cb8c81677c,0x89b7c7edb269d041:0xfe968933628e357b
0x89b7c7ed912b685d:0xaa8e244721614ba0,0x89b7b83c7d36347b:0x8bc48079244a9dce,0x89b7c81d886c1d61:0xabf50ab674d2a063,0x89b7c950fc363d51:0x46d3ff476fdb7df6,0x89b7b7cf693234ed:0x5c9d5084b742207a,0x89b7c86ecda54627:0xaa7bafbbd3350506,0x89b7b8171b9011e9:0xc8c7cfc7941da92d,0x89b7b7cf422667ff:0x69f090e7966caae4,0x89b7b77ad5de20c9:0xb0a27a5da762eae1,0x89b7b7e7cf15b8a5:0xbde44bbc455ec66c,0x89b7b7b80da2b843:0x565291b1258bece2,0x89b7b915a3894051:0x10d68d3b35ceaa92
0x89b7b8276e79f6f1:0xd4dfe7798e32194,0x89b7b79136e24c19:0x1282ed1c28d538bd,0x89b7b7dbb3921039:0xdc8502ef8a311391,0x89b7b798359764c9:0xec52bbe74d6efc95,0x89b7b7c13a1e20c5:0x5491b9db801c33d0,0x89b7b7921b3f05d7:0xdca3e04bbbab3921,0x89b7b7dfe2e884e5:0x540857b6f72129eb,0x89b7b7f698d6aded:0xc58f510f3b2b218c,0x89b7b7c1dcb5c1fb:0x9e202c7a25e2e64a,0x89b7b78c435f9509:0xefe89de0ac3e6f6d,0x89b7b7da3b7d34c5:0x1be4d80c4bc895ae,0x89b7c8655a81063f:0x5de17ca28c9c87fd
0x89b7c87a84faa0b9:0xfd48b86a34d834af,0x89b7c9819a3dd2b9:0x778ac6e2819a59d0,0x89b7b9cc0e9ba06f:0x12dcba37ea0afc57,0x89b7b980f71700fd:0xc5eb06df8f00d47,0x89b7b64999503c11:0xb7827edfae2a76,0x89b7c87a84faa0b9:0xfd48b86a34d834af,0x89b7b9013254466f:0xaacb1404b3add1bf,0x89b7b7e7220914b9:0xd4692a282efa4e1,0x89b7c7f03f05125b:0xef5b3b6711f1efbc,0x89b7b7971475733b:0xf4c072e3093a52fe,0x89b7b78a68303065:0xcaf5b3bc52230fc6,
0x89b7c7d1042a12a9:0x779259d010abc217,0x89b7b785515feec9:0x9e2a9c69f4c20856,0x89b7b82dd49822e9:0x9ab53e965608bd55,0x89b7b79bf43ca36d:0xc6b4aaf7a46bf36b,0x89b7c77731bdd9a1:0x5d4567dc36ab865b,0x89b7c7d1042a12a9:0x779259d010abc217,0x89b7b7bed3e5ffcd:0x9b845f7f4933826f,0x89b7b7da16d7ab65:0xa10722ee69191e65,0x89b7b78d6e6e524b:0x82a58dddf34ae698,0x89b7b833393c50c3:0xdd7bc5f3e7fc7ee9,0x89b7c9f2f90fb5df:0x6f03aec9c95db44,
0x89b7b822da53e297:0x9f3d25c60896758b,0x89b7c9c936ed4513:0xc105c6745ce63b1e,0x89b7b9d0586e7099:0x4ec79dc8c2d9911c,0x89b7b83304df5dbd:0x566f0197190057ff,0x89b7c7d1042a12a9:0x779259d010abc217,0x89b7c9c1f93400c9:0xd958e13953a16c54,0x89b7b6491bef8151:0xcae69830e222bfe2,0x89b7b822e78c1ab5:0x385d5ea693b2f37d,0x89b7c873ffffffff:0xc06c38a1d4f046e6,0x89b7c90562d07089:0xcfd531d412cf7df,0x89b7b7ecb262eef9:0x423a0078071025d3,
0x89b7b7ec102acbd1:0xe716b5ab2bb014b4,0x89b7b7e520713ab7:0x820cbdca9be0dbd1,0x89b7c9d36b844fcf:0x69b079548d339e36,0x89b7b6493b656b09:0xb341545a18855e24,0x89b7b9aaeb611351:0x97f06953705f82a1,0x89b7c9c0e699d9fb:0xe315973cab7164dd,0x89b7b7e53fccc2f1:0x6e71108b0b1d45e6,0x89b7b81a19992fe1:0xd530b02518fccd69,0x89b7b7b16e27ecd9:0x7e62babdaf503b5f,0x89b7b826ca5d5a51:0xe0f8ab2bcec72284,0x89b7b810eb45f1c7:0x475c01bee21d31d5,
0x89b7c9d4a4e34171:0x6960fa7b48b3f6fc,0x89b7b809ef6ce6f1:0x3bc2b59c5db9dd00,0x89b7b64c46c3fb73:0x65e85ab62bcf23a4,0x89b7b791fef64f1b:0x29fed6c9ddc1bd2,0x89b7b78fdadfa66d:0x8592a4d5039bd107,0x89b7c81aee038b6d:0xe4d2d3432458321a,0x89b7b7be2bb8f1b1:0xc162733bab9e3603,0x89b7b7d562d06f1b:0x5a372a3550670291,0x89b7b7da310e67dd:0x9387ca1e917e7281,0x89b7b7e98b248281:0xd4a7e9dfb8af8964,0x89b7c821e6531ef1:0xd8a2b19659602ad1,
0x89b7c98cec1c359b:0x6100108f1906ee50,0x89b7c9e44381500d:0x2623f4105cbca1b2,0x89b7b7921fbc4a1b:0xbf56f59b65d7354a,0x89b7b82b9db45431:0xdfc09d92c6c4f323,0x89b7b7112305b997:0x2eb2a6b4f7d3008d,0x89b7b7ec102acbd1:0xe716b5ab2bb014b4,0x89b7b8403d2de469:0xf7e5d395546bc83,0x89b7b64605bd323f:0x878f495d54be6953,0x89b7b78ce14835d9:0x27218b4f38da3858,0x89b7b7c4d51ec1f1:0xe3c727589af57711,0x89b7c820e7b824bf:0x2a54c680493e7cfe,
0x89b7b7cf4681ff6d:0x4d7a22b638d0da87,0x89b7b9a0f1265e69:0x490fed7f95a8cb37,0x89b7b92d30052415:0x782b303d02cabbb0,0x89b7b9fb17b9aae7:0xdf55b69f2d702781,0x89b7b873098223cb:0xd7fda0daa6c88fcf,0x89b7ba0d0fc066c5:0x432bc4b3d06f4c2a,0x89b7c90f70a6c5a1:0x89d1399ca6ec1f37,0x89b7b7764a04c9af:0xdc089ab77fcc2026,0x89b7b649c4edd42d:0xb6e5ac31a66b7900,0x89b7b77134d4c92b:0x4df69b67dd716e4c,0x89b7b7e80e73cb23:0xaed08272835ec16a,
0x89b7b833057c2acf:0x23120bc6ea49f8a,0x89b7c9e747b56ea9:0xb4358fc62a981900,0x89b7c81942830b65:0x5b99a1edba994cde,0x89b7b7b31b66c6d9:0x568a77b1a0d63fd0,0x89b7b83fc4b7c7f7:0xb6e76df6b82e23fd,0x89b7b86d66df918f:0x64fa6bdd8baa4f63,0x89b7b7b9ea3a2a17:0x44f13e2ec82c4204,0x89b7b78306d11757:0x182ccbbeda0afea,0x89b7b7f0b99989ad:0x6a6709b193a7ad2,0x89b7b7cf693234ed:0x5c9d5084b742207a,0x89b7b7ba0f07f193:0x1278c3ab4535a4bd,
0x89b7b7e7b8d7224b:0x7f6ffe169e8a2cf3,0x89b7b82a1285e44f:0x819f6fb97aa3dc3,0x89b7b7d438d84fa9:0x4feed4be4a15ce5a,0x89b7b7bba37bc48d:0xbf04a5789d72846a,0x89b7b7712828b479:0x180c2aea80ca1413,0x89b7b79513bba409:0xef2e8f1325ee8ca3,0x89b7b7bd0d618fb7:0xd0048ad884ba1b83,0x89b7b7e5cf22b7c3:0x8ba69ee229588a07,0x89b7b7bbcdb4486f:0x5993996caf5d1ec7,0x89b64d7900578c8f:0x9dfe5535cdeb3ec8,0x89b7b82e9f93c94d:0xaadddbd9867f7f01,
0x89b7b7979cdd8be3:0x34cd8a2d2a3a8894,0x89b7b776a3cc3a85:0x9984a91b3a2709da,0x89b7b648d0f14891:0xe83e6d9809978308,0x89b7b7ea142a78a7:0x6aa8e7bfdbde36fe,0x89b7b776c0776ecd:0xbd210118d6de8a74,0x89b7b7e5b86248c9:0xed20081fb48d7ce0,0x89b7b8ecc5fa837d:0xafa9e56de883d0f2,0x89b7b7c148a2b0cb:0x365c2b057f11b875,0x89b7b7920697b865:0x90d8f3cbb98675af,0x89b7c9d8d711e621:0xacd7b53e906d2f54,0x89b7c82144bf9b2b:0x892705f6836f010c,
0x89b7b7b4292158c1:0xde728d6c9aee3966,0x89b7b7b0854a834d:0xddc6518cb575e752,0x89b7c994fb5fabeb:0x1a56d3fa17856f5f,0x89b7c8215b9eba5d:0x6c8cc0fbd0553534,0x89b7b64b0b4f9191:0x55df89cddcb1005d,0x89b7b84b2bac17ff:0xb44cd7f13d56e19c,0x89b7b8331005d6ed:0xbee4a6e7ae79d537,0x89b7c81a8dd37541:0x8dafffe06cc33f21,0x89b7b7bbfb205165:0x2274e09763ac2312,0x89b7b64999503c11:0xb7827edfae2a76,0x89b7c818b3d4677b:0xfbe8111626d03917,
0x89b7b7e86cabe0c7:0x4be184430515916e,0x89b7b7e776ab7a7f:0x55f8467e4a5b366a,0x89b7b9183aee26e9:0x298469316152073d,0x89b7b7db26c971cd:0x216a3caaa6d3515f,0x89b7b78da5b33f25:0xc54f018d705f5589,0x89b7b7d980b521b5:0x876cc39ca4eb0e17,0x89b7c9ce9779a0ad:0x9348b4fdec91bca4,0x89b7b7db01a1d505:0x89ed9ed8e455e882,0x89b7b7e63e155889:0xe63073d6e353001a,0x89b7b9085ae1f993:0xad645906f59128d5,0x89b7c8618b939ba1:0x5a89e2ef99a54bd5,
0x89b7b7e83fb2c791:0xcae80ec4a3b22321,0x89b7b7bebe970afd:0x382b9326ffb684a1,0x89b7b71e053f9a71:0x7f7e201e30ba4f32,0x89b7b786c23f5771:0x94e37311b00330b1,0x89b7c9ec40982ee5:0xfb627378b62103a7,0x89b7c889882084d9:0x44d539fd547a6c5b,0x89b7b73aab846c17:0x64520a673457796e,0x89b7b93953633d7f:0xd77e8bce6c62a89c,0x89b7b7b89ba5f383:0x98543553a268ea16,0x89b7b7d562d06f1b:0x5a372a3550670291,0x89b7b7d914cbe5c9:0xc239222b12358148,
0x89b7b64c532b8177:0x48a6753ec0fb62ac,0x89b7b78e1d7dfb4d:0x251e3ca58d896075,0x89b7b841dc236305:0x687b56577e0c0b4c,0x89b7b78ffd6bf7bd:0xa8374d8e941eef37,0x89b7b64c532b8177:0x48a6753ec0fb62ac,0x89b7b7db2ae3d3f3:0x300d6e4d42697c21,0x89b7b91b68cb3a21:0x3181b14c497d7c0c,0x89b7c9c32add18bb:0xa8fff05570fbdc82,0x89b7b64b2533d557:0x27452bdc91e1bf7d,0x89b7b7cf4681ff6d:0x4d7a22b638d0da87,0x89b7b7da6bdb24af:0x3954f1a7d44fdaae,
0x89b7b7dccc95b3db:0xb8fa154789eda00f,0x89b7b7953df9db21:0xc4fd0ea2844cd572,0x89b7b83236e6f67f:0x65504c3b2f34cb29,0x89b7c9e747b56ea9:0xb4358fc62a981900,0x89b7b7bdfed6cacb:0x4b0028e3c9d71fb9,0x89b7c820ec18113b:0xb59b6c2e43820efd,0x89b7b7c1234490cd:0x30a1e1c329060e56,0x89b7b7c87c86024b:0x1c975b84ddf91787,0x89b7b648a514b0bd:0x8af1fe0b1fa75b6b,0x89b7b78da5b33f25:0xc54f018d705f5589,,
0x89b7b791cfb1604d:0x6715dfa4d5d9ad45,0x89b7b79586818f15:0xfe3bd18439861ed7,0x89b7b7d411b2b45d:0xffa25dc708e07868,0x89b7b7979cdd8be3:0x2eb209f0a4bf430a,0x89b7b79721388a73:0x73d84f8650fdff00,0x89b7c7c69e89a035:0xd8e94999959e317e,0x89b7b7b48436740d:0x5e28af82b165ae34,0x89b7b78d6e6e524b:0x82a58dddf34ae698,0x89b7b83d3f018fe1:0x639c12bfed1ced9d,0x89b7b7db01a1d505:0x89ed9ed8e455e882,,
0x89b7c7f03f05125b:0xef5b3b6711f1efbc,0x89b7b83308ccd977:0x6ebf24fbddab867f,0x89b7b78fe1723c7f:0xe0f2245d49ea746e,0x89b7b7fa98323cd1:0xdfa0679dc69b95bb,0x89b7b9d9ce3c8d0d:0xcc0bd12e7cb800bf,0x89b7c81233a75ea7:0x4827826436ea1bfb,0x89b7b970ef73db8f:0x6db8463c8b6893b5,0x89b7b7c14f86cbfb:0xcb755459c31ef8e2,0x89b7b624cda3b99f:0x630a9857d569bd85,0x89b7b78fd644fcab:0x78d4e157d63cbe1f,,
0x89b7c8159b7f30ed:0x17533bf9c0d0d59,0x89b7b8276e79f6f1:0xd4dfe7798e32194,0x89b7b6494f8e75b5:0x42240aa75f7cceac,0x89b7b7eaf30fe3e9:0x244532481d28147b,0x89b7b83fd2880c51:0xfcae6b00dc3503ac,0x89b7c8214492eb9b:0x49587dc5946b51fc,0x89b7c821e64c70e5:0x7ae989e25741ac9e,0x89b7b7e4dfe1410f:0x8eafebf22a68e605,0x89b7b7e70d79ec95:0xbbb52b79eb3a16f1,0x89b7b7bdfed6cacb:0x4b0028e3c9d71fb9,,
0x89b7b7b869687159:0x53923e53f697050a,0x89b7b78e4f5f6873:0xe9f8c7b797a120b1,0x89b7b7c87b44d809:0xa9efafb583ce5274,0x89b7b7e5a7ed1bc9:0x52120ee42d95e01e,0x89b7b7da19d5782b:0x1f5fbe3ef58daf12,0x89b7b84202fd9ee5:0xaf83a3e2f2b08777,0x89b7b721c446d6e5:0xcb4bc19f5e313905,0x89b7b797de86f65f:0x2920318985d7597e,0x89b7b793da177113:0x88a5ba095765f4b5,0x89b7b7b8ceefb3cb:0x56bcd0afdce2f81b,,
0x89b7b766d7e9c08d:0xc297fc4f7f4176b3,0x89b7b9f9cffd30a5:0xd229b2271ffdfad9,0x89b7b7b48ebb0647:0xfe7026c5cea76df0,0x89b7c868d2d55e33:0xa1bef340e65bb6b4,0x89b7c873ffffffff:0xc06c38a1d4f046e6,0x89b7b7ea217de743:0x33351f115da21efc,0x89b7b7b8352b4251:0x3be10ce1fc77113f,0x89b7b7ec0eb69f5d:0xa797d0b015e2991c,0x89b7b64990c1be99:0x6dfec4098ac772c5,0x89b7b7d4051a1819:0x7cfae2cdb95bfa03,,
0x89b7b7763b533085:0xd5575b1e2f653889,0x89b7b7b7791f80d1:0x80a9620b177646aa,0x89b7b7253bb6c259:0x661d1947012530fa,0x89b7b7e7991b933d:0x454f8071152d422f,0x89b7b7da18302d71:0xeba0b8e82d92bc64,0x89b7b71e274cfc9b:0x146b12dc3c4b838e,0x89b7b7b7112bd23d:0xa0f309bda0c6f75,0x89b7c9a3145b52c7:0x80a5a047ec722c84,0x89b7c931e2bcc94b:0xcf8607efb00b13a1,0x89b7b7ad23ab0839:0x29af19a3309a2bca,,
0x89b7b7e4dfe1410f:0x8eafebf22a68e605,0x89b7b7f698d6aded:0xc58f510f3b2b218c,0x89b7b9c11fc38b8f:0xe01a8407e5e5e35f,0x89b7b7d474765cbf:0x3d07052bfe524037,0x89b7b79597c2b95f:0x5703daf0b6950303,0x89b7c775f077e04b:0x5d4c2d35a24e0a81,0x89b7b83fdcc20123:0x6390a2c38a93d1ee,0x89b7b7c4573e2c03:0x126b07bb37dbd833,0x89b7c896eaa67f9d:0x716e16bf8e48aeca,0x89b7b7b9164bdd2f:0xd47f2a23515dc7fd,,
0x89b7b790bbf2693d:0x459186bd6043d421,0x89b7b78f77954abb:0xb0ede417e3fb1fa8,0x89b7b7dbd32fb067:0x87f5ceb59163ccc7,0x89b7b84aa495d1a1:0xdf56adee4ac96b8d,0x89b7b87634713193:0xd09f34cece002ee5,0x89b7b7763b533085:0xde72085d621ce848,0x89b7b78df707b3ef:0xd1c7612acf3922d7,0x89b7b624b81ad811:0x7272304a58a8a0a7,0x89b7b7e5cedff2c5:0x2fe43d8aebc58f42,0x89b7b7e613cbe34d:0x9524596fe3c48b2,,
0x89b7b78dffca9dbb:0xb64ca581810c3e2c,0x89b7c99d96903cd3:0x8d39dcaa4714079d,0x89b7b78c886b1fe5:0x1b47711860b4eb63,0x89b7c9d316a994dd:0xc855a29703c339cc,0x89b7c9c2680fd339:0x86dd13f0689f9f61,0x89b7b78de78b1441:0xdf6a97a70021047f,0x89b7b7012a5ae71f:0x5fbd900b1ef16468,0x89b7b7d4166aa96d:0xba7b67f901d37486,0x89b7b7dbca568117:0xc1bc95cc35ceef75,0x89b7b7948832fc97:0x5f140c04983136a1,,
0x89b7b792474c836b:0x3080aabf896b34eb,0x89b7b7da2af957b3:0x73a2faa777d9bb2e,0x89b7b791aff727eb:0x7b32f42794808e23,0x89b7c86220a614d9:0x20b53b4e95d9aefa,0x89b7b808411d0c05:0x46b3f4c9eeaa2346,0x89b7c785346a89d1:0xffbd09b5a555b7e6,0x89b7b7584644c729:0xc54467546c04377e,0x89b7c9e1f3535f29:0x207c95aef79fcdbd,0x89b7b7cf4d12d6bb:0x224506bba4f6c059,0x89b7b99b4a08fb55:0x900e2b0fbf37b32b,,
0x89b7b7904c8a39f3:0x335235efa8242210,0x89b7c7d1042a12a9:0x779259d010abc217,0x89b7b78308f7e00b:0x1fdbd327376d4155,0x89b7b907c35e8a3d:0x63b34307ad1e3967,0x89b7b83e35b1ffcd:0xbef18b56b1caa009,0x89b7c7bc9c98a9ad:0x6224904509f2e98d,0x89b7c9f0daa2d28d:0x848322bc10ae43f1,0x89b7b7c7eb7f2ee3:0x85c6f3ea5f46f80e,0x89b7b77bc43e8e81:0x8475a084b3d94fbb,0x89b7b79721388a73:0x73d84f8650fdff00,,
0x89b7b7763bfa4489:0x5fdb670e4073a74,0x89b7b79733bf36c9:0x1154672736688a28,0x89b7c81f818161b9:0x83e67f4660430a95,0x89b7b7cf4681ff6d:0x4d7a22b638d0da87,0x89b7b7c87ebc5149:0x3890f749ab7482b1,0x89b7b97943171379:0x9cf235c43b408323,0x89b7c81b65eaee97:0x360b36fb9e6e6949,0x89b7b7c3326f9511:0xbfd93458dc95a24e,0x89b7b6374f10789d:0xadfeccb240aa9ae6,0x89b7b71faafb1a0d:0xc60dad0afff7310d,,
0x89b7b95fc2bebf5d:0x34da9ae321c82928,0x89b7b822da53e297:0x9f3d25c60896758b,0x89b7b75f03c48d85:0x80ff0f6c655c8616,0x89b7c7d1195ddb01:0x28f5360ea8403c47,0x89b7b798010721f7:0xea23e5f7af3eff0,0x89b7b7f85ad5bbf1:0xd6f98506d395a678,0x89b7b846cb53dd05:0xacd9b9ba0ca1d23d,0x89b7b833390e43f1:0x4398cef60916d41e,0x89b7b83fe97d708f:0x78969012648008f2,0x89b7c9eac1f98561:0xef5b22d4acfa9490,,
0x89b7b7c4e3245aaf:0xa013656d21ffe04a,0x89b7b796db226f5f:0x173dae016f111b31,0x89b7b7c750ce4bd5:0x4677c655c7c54466,0x89b7c9408001e71d:0x570810324b75b2ea,0x89b7b60be351d383:0x23a2d3b81f2f7dc8,0x89b7b7ecfd17124d:0xdcff246b01de441a,0x89b7b7f0e9203ad5:0xbf42c81c9d016947,0x89b7b7b1129d145b:0x82869afa92c1beee,0x89b7b7ebd1e9f27f:0xfe41400c8cf141d3,0x89b7b766d7e9c08d:0xc297fc4f7f4176b3,,
0x89b7b7b6bd7e29dd:0x3f1da7330585d4eb,0x89b7b7b748456995:0xeb6e51fa79f9a4cf,0x89b7b98e64d4bc1d:0x6214df80bd67811c,0x89b7b64eb35d5a31:0x9d2ecb6b5cb94511,0x89b7b7c63ea11411:0x95d4b0a937e9c66f,0x89b7b8c3e83633cd:0x9a96ee69caed60fa,0x89b7b7b43647850f:0x87934c306bd75787,0x89b7b787ec99a849:0xd3e7ede2e3f0b15a,0x89b7b7edd910b397:0x764a4aba8374b3ca,0x89b7b82c1e5d63cb:0xc4319f59764332d,,
